지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1991-08-22 04:00,.4,0
90,속초,1991-08-22 05:00,1,0
90,속초,1991-08-22 06:00,1.5,0
90,속초,1991-08-22 07:00,.1,0
90,속초,1991-08-22 08:00,0,0
90,속초,1991-08-22 09:00,.1,0
90,속초,1991-08-22 10:00,.1,0
90,속초,1991-08-22 11:00,.1,0
90,속초,1991-08-22 12:00,0,0
90,속초,1991-08-22 13:00,.1,0
90,속초,1991-08-22 14:00,0,0
90,속초,1991-08-22 15:00,.1,0
90,속초,1991-08-22 16:00,0,0
90,속초,1991-08-22 17:00,0,0
90,속초,1991-08-22 23:00,.5,0
90,속초,1991-08-23 00:00,.6,0
90,속초,1991-08-23 01:00,0,0
90,속초,1991-08-23 02:00,0,0
90,속초,1991-08-23 03:00,0,0
90,속초,1991-08-23 04:00,0,0
90,속초,1991-08-23 05:00,.6,0
90,속초,1991-08-23 06:00,1,0
90,속초,1991-08-23 07:00,.3,0
90,속초,1991-08-23 08:00,.1,0
90,속초,1991-08-23 09:00,0,0
90,속초,1991-08-23 10:00,0,0
90,속초,1991-08-23 11:00,0,0
90,속초,1991-08-23 12:00,0,0
90,속초,1991-08-23 13:00,0,0
90,속초,1991-08-23 14:00,0,0
90,속초,1991-08-23 15:00,1.4,0
90,속초,1991-08-23 16:00,3.4,0
90,속초,1991-08-23 17:00,2.8,0
90,속초,1991-08-23 18:00,2.4,0
90,속초,1991-08-23 19:00,1.1,0
90,속초,1991-08-23 20:00,1.3,0
90,속초,1991-08-23 21:00,1.3,0
90,속초,1991-08-23 22:00,.8,0
90,속초,1991-08-23 23:00,1.8,0
90,속초,1991-08-24 00:00,1,0
90,속초,1991-08-24 01:00,.4,0
90,속초,1991-08-24 02:00,.5,0
90,속초,1991-08-24 03:00,.1,0
90,속초,1991-08-24 04:00,3.3,0
90,속초,1991-08-24 05:00,3.1,0
90,속초,1991-08-24 06:00,1.8,0
90,속초,1991-08-24 07:00,1,0
90,속초,1991-08-24 08:00,1,0
90,속초,1991-08-24 09:00,1,0
90,속초,1991-08-24 10:00,1.1,0
90,속초,1991-08-24 11:00,.3,0
90,속초,1991-08-24 12:00,1.9,0
90,속초,1991-08-24 13:00,2.7,0
90,속초,1991-08-24 14:00,.3,0
90,속초,1991-08-24 15:00,.6,0
90,속초,1991-08-24 16:00,0,0
90,속초,1991-08-24 17:00,.2,0
90,속초,1991-08-24 18:00,.1,0
90,속초,1991-08-24 19:00,.5,0
90,속초,1991-08-24 20:00,.2,0
90,속초,1991-08-24 21:00,0,0
90,속초,1991-08-24 22:00,0,0
90,속초,1991-08-26 09:00,.3,0
90,속초,1991-08-26 10:00,0,0
90,속초,1991-08-29 22:00,0,0
90,속초,1991-08-29 23:00,.4,0
90,속초,1991-08-30 00:00,.6,0
90,속초,1991-08-30 01:00,0,0
90,속초,1991-08-30 02:00,.2,0
90,속초,1991-08-30 03:00,.3,0
90,속초,1991-08-30 04:00,.3,0
90,속초,1991-08-30 05:00,0,0
90,속초,1991-08-30 06:00,.1,0
90,속초,1991-09-03 09:00,0,0
90,속초,1991-09-03 10:00,.2,0
90,속초,1991-09-03 11:00,.1,0
90,속초,1991-09-03 12:00,.1,0
90,속초,1991-09-04 08:00,.2,0
90,속초,1991-09-04 09:00,0,0
90,속초,1991-09-04 10:00,0,0
90,속초,1991-09-04 19:00,0,0
90,속초,1991-09-04 20:00,3.3,0
90,속초,1991-09-04 21:00,5.4,0
90,속초,1991-09-04 22:00,1.8,0
90,속초,1991-09-04 23:00,4.3,0
90,속초,1991-09-05 00:00,3,0
90,속초,1991-09-05 01:00,7.5,0
90,속초,1991-09-05 02:00,0,0
90,속초,1991-09-05 03:00,0,0
90,속초,1991-09-05 04:00,1.2,0
90,속초,1991-09-05 05:00,.2,0
90,속초,1991-09-05 06:00,1.3,0
90,속초,1991-09-05 07:00,1.6,0
90,속초,1991-09-05 08:00,.1,0
90,속초,1991-09-05 09:00,.1,0
90,속초,1991-09-05 10:00,0,0
90,속초,1991-09-05 11:00,0,0
90,속초,1991-09-05 12:00,0,0
90,속초,1991-09-05 13:00,0,0
90,속초,1991-09-05 14:00,0,0
90,속초,1991-09-05 15:00,0,0
90,속초,1991-09-05 16:00,0,0
90,속초,1991-09-05 17:00,0,0
90,속초,1991-09-05 18:00,.5,0
90,속초,1991-09-05 19:00,1.8,0
90,속초,1991-09-05 20:00,.5,0
90,속초,1991-09-05 21:00,.1,0
90,속초,1991-09-05 22:00,0,0
90,속초,1991-09-05 23:00,0,0
90,속초,1991-09-06 00:00,0,0
90,속초,1991-09-06 01:00,0,0
90,속초,1991-09-06 02:00,0,0
90,속초,1991-09-06 06:00,.4,0
90,속초,1991-09-06 07:00,0,0
90,속초,1991-09-06 08:00,.1,0
90,속초,1991-09-06 09:00,0,0
90,속초,1991-09-06 10:00,0,0
90,속초,1991-09-11 16:00,0,0
90,속초,1991-09-11 17:00,0,0
90,속초,1991-09-12 13:00,.1,0
90,속초,1991-09-12 14:00,0,0
90,속초,1991-09-13 21:00,.2,0
90,속초,1991-09-13 22:00,.1,0
90,속초,1991-09-13 23:00,0,0
90,속초,1991-09-14 00:00,0,0
90,속초,1991-09-14 01:00,0,0
90,속초,1991-09-14 02:00,0,0
90,속초,1991-09-19 15:00,.7,0
90,속초,1991-09-19 17:00,4.1,0
90,속초,1991-09-19 19:00,.2,0
90,속초,1991-09-19 20:00,1.4,0
90,속초,1991-09-20 16:00,0,0
90,속초,1991-09-20 17:00,0,0
90,속초,1991-09-20 18:00,.2,0
90,속초,1991-09-21 11:00,.3,0
90,속초,1991-09-21 12:00,.4,0
90,속초,1991-09-21 13:00,.3,0
